,parent_name,child_name,group
577,Network security,Security protocols,10003033_6
578,Network security,Web protocol security,10003033_6
579,Network security,Mobile and wireless security,10003033_6
580,Network security,Denial-of-service attacks,10003033_6
581,Network security,Firewalls,10003033_6
582,Network properties,Network range,10003033_6
583,Network range,Short-range networks,10003033_6
584,Network range,Local area networks,10003033_6
585,Network range,Metropolitan area networks,10003033_6
586,Network range,Wide area networks,10003033_6
587,Network range,Very long-range networks,10003033_6
588,Network properties,Network structure,10003033_6
589,Network structure,Topology analysis and generation,10003033_6
590,Network structure,Physical topologies,10003033_6
591,Network structure,Logical / virtual topologies,10003033_6
592,Network structure,Network topology types,10003033_6
593,Network topology types,Point-to-point networks,10003033_6
594,Network topology types,Bus networks,10003033_6
595,Network topology types,Star networks,10003033_6
596,Network topology types,Ring networks,10003033_6
597,Ring networks,Token ring networks,10003033_6
598,Ring networks,Fiber distributed data interface (FDDI),10003033_6
599,Network topology types,Mesh networks,10003033_6
600,Mesh networks,Wireless mesh networks,10003033_6
601,Network topology types,Hybrid networks,10003033_6
602,Network properties,Network dynamics,10003033_6
603,Network properties,Network reliability,10003033_6
604,Network reliability,Error detection and error correction,10003033_6
605,Network properties,Network mobility,10003033_6
606,Network properties,Network manageability,10003033_6
607,Network properties,Network privacy and anonymity,10003033_6
608,Network services,Naming and addressing,10003033_7
609,Network services,Cloud computing,10003033_7
610,Network services,Location based services,10003033_7
611,Network services,Programmable networks,10003033_7
612,Network services,In-network processing,10003033_7
613,Network services,Network management,10003033_7
614,Network services,Network monitoring,10003033_7
615,Network types,Network on chip,10003033_8
616,Network types,Home networks,10003033_8
617,Network types,Storage area networks,10003033_8
618,Network types,Data center networks,10003033_8
619,Network types,Wired access networks,10003033_8
620,Network types,Cyber-physical networks,10003033_8
621,Cyber-physical networks,Sensor networks,10003033_8
622,Network types,Mobile networks,10003033_8
623,Network types,Overlay and other logical network structures,10003033_8
624,Overlay and other logical network structures,Peer-to-peer networks,10003033_8
625,Overlay and other logical network structures,World Wide Web (network structure),10003033_8
626,Overlay and other logical network structures,Social media networks,10003033_8
627,Overlay and other logical network structures,Online social networks,10003033_8
628,Network types,Wireless access networks,10003033_8
629,Wireless access networks,Wireless local area networks,10003033_8
630,Wireless access networks,Wireless personal area networks,10003033_8
631,Network types,Ad hoc networks,10003033_8
632,Ad hoc networks,Mobile ad hoc networks,10003033_8
633,Network types,Public Internet,10003033_8
634,Network types,Packet-switching networks,10003033_8
635,Human computer interaction (HCI),HCI design and evaluation methods,10003120_1
636,HCI design and evaluation methods,User models,10003120_1
637,HCI design and evaluation methods,User studies,10003120_1
638,HCI design and evaluation methods,Usability testing,10003120_1
639,HCI design and evaluation methods,Heuristic evaluations,10003120_1
640,HCI design and evaluation methods,Walkthrough evaluations,10003120_1
641,HCI design and evaluation methods,Laboratory experiments,10003120_1
642,HCI design and evaluation methods,Field studies,10003120_1
643,Human computer interaction (HCI),Interaction paradigms,10003120_1
644,Interaction paradigms,Hypertext / hypermedia,10003120_1
645,Interaction paradigms,Mixed / augmented reality,10003120_1
646,Interaction paradigms,Command line interfaces,10003120_1
647,Interaction paradigms,Graphical user interfaces,10003120_1
648,Interaction paradigms,Virtual reality,10003120_1
649,Interaction paradigms,Web-based interaction,10003120_1
650,Interaction paradigms,Natural language interfaces,10003120_1
651,Interaction paradigms,Collaborative interaction,10003120_1
652,Human computer interaction (HCI),Interaction devices,10003120_1
653,Interaction devices,Graphics input devices,10003120_1
654,Interaction devices,Displays and imagers,10003120_1
655,Interaction devices,Sound-based input / output,10003120_1
656,Interaction devices,Keyboards,10003120_1
657,Interaction devices,Pointing devices,10003120_1
658,Interaction devices,Touch screens,10003120_1
659,Interaction devices,Haptic devices,10003120_1
660,Human computer interaction (HCI),"HCI theory, concepts and models",10003120_1
661,Human computer interaction (HCI),Interaction techniques,10003120_1
662,Interaction techniques,Auditory feedback,10003120_1
663,Interaction techniques,Text input,10003120_1
664,Interaction techniques,Pointing,10003120_1
665,Interaction techniques,Gestural input,10003120_1
666,Human computer interaction (HCI),Interactive systems and tools,10003120_1
667,Interactive systems and tools,User interface management systems,10003120_1
668,Interactive systems and tools,User interface programming,10003120_1
669,Interactive systems and tools,User interface toolkits,10003120_1
670,Human computer interaction (HCI),Empirical studies in HCI,10003120_1
671,Interaction design,Interaction design process and methods,10003120_2
672,Interaction design process and methods,User interface design,10003120_2
673,Interaction design process and methods,User centered design,10003120_2
674,Interaction design process and methods,Activity centered design,10003120_2
675,Interaction design process and methods,Scenario-based design,10003120_2
676,Interaction design process and methods,Participatory design,10003120_2
677,Interaction design process and methods,Contextual design,10003120_2
678,Interaction design process and methods,Interface design prototyping,10003120_2
679,Interaction design,"Interaction design theory, concepts and paradigms",10003120_2
680,Interaction design,Empirical studies in interaction design,10003120_2
681,Interaction design,Systems and tools for interaction design,10003120_2
682,Systems and tools for interaction design,Wireframes,10003120_2
683,Collaborative and social computing,"Collaborative and social computing theory, concepts and paradigms",10003120_3
684,"Collaborative and social computing theory, concepts and paradigms",Social content sharing,10003120_3
685,"Collaborative and social computing theory, concepts and paradigms",Collaborative content creation,10003120_3
686,"Collaborative and social computing theory, concepts and paradigms",Collaborative filtering,10003120_3
687,"Collaborative and social computing theory, concepts and paradigms",Social recommendation,10003120_3
688,"Collaborative and social computing theory, concepts and paradigms",Social networks,10003120_3
689,"Collaborative and social computing theory, concepts and paradigms",Social tagging,10003120_3
690,"Collaborative and social computing theory, concepts and paradigms",Computer supported cooperative work,10003120_3
691,"Collaborative and social computing theory, concepts and paradigms",Social engineering (social sciences),10003120_3
692,"Collaborative and social computing theory, concepts and paradigms",Social navigation,10003120_3
693,"Collaborative and social computing theory, concepts and paradigms",Social media,10003120_3
694,Collaborative and social computing,Collaborative and social computing design and evaluation methods,10003120_3
695,Collaborative and social computing design and evaluation methods,Social network analysis,10003120_3
696,Collaborative and social computing design and evaluation methods,Ethnographic studies,10003120_3
697,Collaborative and social computing,Collaborative and social computing systems and tools,10003120_3
698,Collaborative and social computing systems and tools,Blogs,10003120_3
699,Collaborative and social computing systems and tools,Wikis,10003120_3
700,Collaborative and social computing systems and tools,Reputation systems,10003120_3
701,Collaborative and social computing systems and tools,Open source software,10003120_3
702,Collaborative and social computing systems and tools,Social networking sites,10003120_3
703,Collaborative and social computing systems and tools,Social tagging systems,10003120_3
704,Collaborative and social computing systems and tools,Synchronous editors,10003120_3
705,Collaborative and social computing systems and tools,Asynchronous editors,10003120_3
706,Collaborative and social computing,Empirical studies in collaborative and social computing,10003120_3
707,Collaborative and social computing,Collaborative and social computing devices,10003120_3
708,Ubiquitous and mobile computing,"Ubiquitous and mobile computing theory, concepts and paradigms",10003120_4
709,"Ubiquitous and mobile computing theory, concepts and paradigms",Ubiquitous computing,10003120_4
710,"Ubiquitous and mobile computing theory, concepts and paradigms",Mobile computing,10003120_4
711,"Ubiquitous and mobile computing theory, concepts and paradigms",Ambient intelligence,10003120_4
712,Ubiquitous and mobile computing,Ubiquitous and mobile computing systems and tools,10003120_4
713,Ubiquitous and mobile computing,Ubiquitous and mobile devices,10003120_4
714,Ubiquitous and mobile devices,Smartphones,10003120_4
715,Ubiquitous and mobile devices,Interactive whiteboards,10003120_4
716,Ubiquitous and mobile devices,Mobile phones,10003120_4
717,Ubiquitous and mobile devices,Mobile devices,10003120_4
718,Ubiquitous and mobile devices,Portable media players,10003120_4
719,Ubiquitous and mobile devices,Personal digital assistants,10003120_4
720,Ubiquitous and mobile devices,Handheld game consoles,10003120_4
721,Ubiquitous and mobile devices,E-book readers,10003120_4
722,Ubiquitous and mobile devices,Tablet computers,10003120_4
723,Ubiquitous and mobile computing,Ubiquitous and mobile computing design and evaluation methods,10003120_4
724,Ubiquitous and mobile computing,Empirical studies in ubiquitous and mobile computing,10003120_4
725,Visualization,Visualization techniques,10003120_5
726,Visualization techniques,Treemaps,10003120_5
727,Visualization techniques,Hyperbolic trees,10003120_5
728,Visualization techniques,Heat maps,10003120_5
729,Visualization techniques,Graph drawings,10003120_5
730,Visualization techniques,Dendrograms,10003120_5
731,Visualization techniques,Cladograms,10003120_5
732,Visualization,Visualization application domains,10003120_5
733,Visualization application domains,Scientific visualization,10003120_5
734,Visualization application domains,Visual analytics,10003120_5
735,Visualization application domains,Geographic visualization,10003120_5
736,Visualization application domains,Information visualization,10003120_5
737,Visualization,Visualization systems and tools,10003120_5
738,Visualization systems and tools,Visualization toolkits,10003120_5
739,Visualization,"Visualization theory, concepts and paradigms",10003120_5
740,Visualization,Empirical studies in visualization,10003120_5
741,Visualization,Visualization design and evaluation methods,10003120_5
742,Accessibility,"Accessibility theory, concepts and paradigms",10003120_6
743,Accessibility,Empirical studies in accessibility,10003120_6
744,Accessibility,Accessibility design and evaluation methods,10003120_6
745,Accessibility,Accessibility technologies,10003120_6
746,Accessibility,Accessibility systems and tools,10003120_6
747,Professional topics,Computing industry,10003456_1
748,Computing industry,Industry statistics,10003456_1
749,Computing industry,Computer manufacturing,10003456_1
750,Computing industry,Sustainability,10003456_1
751,Professional topics,Management of computing and information systems,10003456_1
752,Management of computing and information systems,Project and people management,10003456_1
753,Project and people management,Project management techniques,10003456_1
754,Project and people management,Project staffing,10003456_1
755,Project and people management,Systems planning,10003456_1
756,Project and people management,Systems analysis and design,10003456_1
757,Project and people management,Systems development,10003456_1
758,Project and people management,Computer and information systems training,10003456_1
759,Management of computing and information systems,Implementation management,10003456_1
760,Implementation management,Hardware selection,10003456_1
761,Implementation management,Computing equipment management,10003456_1
762,Implementation management,Pricing and resource allocation,10003456_1
763,Management of computing and information systems,Software management,10003456_1
764,Software management,Software maintenance,10003456_1
765,Software management,Software selection and adaptation,10003456_1
766,Management of computing and information systems,System management,10003456_1
767,System management,Centralization / decentralization,10003456_1
768,System management,Technology audits,10003456_1
769,System management,Quality assurance,10003456_1
770,Management of computing and information systems,Network operations,10003456_1
771,Management of computing and information systems,File systems management,10003456_1
772,Management of computing and information systems,Information system economics,10003456_1
773,Professional topics,History of computing,10003456_1
774,History of computing,Historical people,10003456_1
775,History of computing,History of hardware,10003456_1
776,History of computing,History of software,10003456_1
777,History of computing,History of programming languages,10003456_1
778,History of computing,History of computing theory,10003456_1
779,Professional topics,Computing education,10003456_1
780,Computing education,Computational thinking,10003456_1
781,Computing education,Accreditation,10003456_1
782,Computing education,Model curricula,10003456_1
783,Computing education,Computing education programs,10003456_1
784,Computing education programs,Information systems education,10003456_1
785,Computing education programs,Computer science education,10003456_1
786,Computer science education,CS1,10003456_1
787,Computing education programs,Computer engineering education,10003456_1
788,Computing education programs,Information technology education,10003456_1
789,Computing education programs,Information science education,10003456_1
790,Computing education programs,Computational science and engineering education,10003456_1
791,Computing education programs,Software engineering education,10003456_1
792,Computing education,Informal education,10003456_1
793,Computing education,Computing literacy,10003456_1
794,Computing education,Student assessment,10003456_1
795,Computing education,K-12 education,10003456_1
796,Computing education,Adult education,10003456_1
797,Professional topics,Computing and business,10003456_1
798,Computing and business,Employment issues,10003456_1
799,Computing and business,Automation,10003456_1
800,Computing and business,Computer supported cooperative work,10003456_1
801,Computing and business,Economic impact,10003456_1
802,Computing and business,Offshoring,10003456_1
803,Computing and business,Reengineering,10003456_1
804,Computing and business,Socio-technical systems,10003456_1
805,Professional topics,Computing profession,10003456_1
806,Computing profession,Codes of ethics,10003456_1
807,Computing profession,Funding,10003456_1
808,Computing profession,Computing occupations,10003456_1
809,Computing profession,Computing organizations,10003456_1
810,Computing profession,"Testing, certification and licensing",10003456_1
811,Computing profession,Assistive technologies,10003456_1
812,Computing / technology policy,Intellectual property,10003456_2
813,Intellectual property,Digital rights management,10003456_2
814,Intellectual property,Copyrights,10003456_2
815,Intellectual property,Software reverse engineering,10003456_2
816,Intellectual property,Patents,10003456_2
817,Intellectual property,Trademarks,10003456_2
818,Intellectual property,Internet governance / domain names,10003456_2
819,Intellectual property,Licensing,10003456_2
820,Intellectual property,Treaties,10003456_2
821,Intellectual property,Database protection laws,10003456_2
822,Intellectual property,Secondary liability,10003456_2
823,Intellectual property,Soft intellectual property,10003456_2
824,Intellectual property,Hardware reverse engineering,10003456_2
825,Computing / technology policy,Privacy policies,10003456_2
826,Computing / technology policy,Censorship,10003456_2
827,Censorship,Pornography,10003456_2
828,Censorship,Hate speech,10003456_2
829,Censorship,Political speech,10003456_2
830,Censorship,Technology and censorship,10003456_2
831,Censorship,Censoring filters,10003456_2
832,Computing / technology policy,Surveillance,10003456_2
833,Surveillance,Governmental surveillance,10003456_2
834,Surveillance,Corporate surveillance,10003456_2
835,Computing / technology policy,Commerce policy,10003456_2
836,Commerce policy,Taxation,10003456_2
837,Commerce policy,Transborder data flow,10003456_2
838,Commerce policy,Antitrust and competition,10003456_2
839,Commerce policy,Governmental regulations,10003456_2
840,Commerce policy,Online auctions policy,10003456_2
841,Commerce policy,Consumer products policy,10003456_2
842,Computing / technology policy,Network access control,10003456_2
843,Network access control,Broadband access,10003456_2
844,Network access control,Net neutrality,10003456_2
845,Network access control,Network access restrictions,10003456_2
846,Network access restrictions,Age-based restrictions,10003456_2
847,Network access restrictions,Acceptable use policy restrictions,10003456_2
848,Network access control,Universal access,10003456_2
849,Computing / technology policy,Computer crime,10003456_2
850,Computer crime,Social engineering attacks,10003456_2
851,Social engineering attacks,Spoofing attacks,10003456_2
852,Social engineering attacks,Phishing,10003456_2
853,Computer crime,Identity theft,10003456_2
854,Computer crime,Financial crime,10003456_2
855,Computer crime,Malware / spyware crime,10003456_2
856,Computing / technology policy,Government technology policy,10003456_2
857,Government technology policy,Import / export controls,10003456_2
858,Computing / technology policy,Medical information policy,10003456_2
859,Medical information policy,Medical records,10003456_2
860,Medical information policy,Personal health records,10003456_2
861,Medical information policy,Genetic information,10003456_2
862,Medical information policy,Patient privacy,10003456_2
863,Medical information policy,Health information exchanges,10003456_2
864,Medical information policy,Medical technologies,10003456_2
865,Medical technologies,Remote medicine,10003456_2
866,User characteristics,Race and ethnicity,10003456_3
867,User characteristics,Religious orientation,10003456_3
868,User characteristics,Gender,10003456_3
869,Gender,Men,10003456_3
870,Gender,Women,10003456_3
871,User characteristics,Sexual orientation,10003456_3
872,User characteristics,People with disabilities,10003456_3
873,User characteristics,Geographic characteristics,10003456_3
874,User characteristics,Cultural characteristics,10003456_3
875,User characteristics,Age,10003456_3
876,Age,Children,10003456_3
877,Age,Seniors,10003456_3
878,Age,Adolescents,10003456_3
879,Models of computation,Computability,10003752_1
880,Computability,Lambda calculus,10003752_1
881,Computability,Turing machines,10003752_1
882,Computability,Recursive functions,10003752_1
883,Models of computation,Probabilistic computation,10003752_1
884,Models of computation,Quantum computation theory,10003752_1
885,Quantum computation theory,Quantum complexity theory,10003752_1
886,Quantum computation theory,Quantum communication complexity,10003752_1
887,Quantum computation theory,Quantum query complexity,10003752_1
888,Quantum computation theory,Quantum information theory,10003752_1
889,Models of computation,Interactive computation,10003752_1
890,Models of computation,Streaming models,10003752_1
891,Models of computation,Concurrency,10003752_1
892,Concurrency,Parallel computing models,10003752_1
893,Concurrency,Distributed computing models,10003752_1
894,Concurrency,Process calculi,10003752_1
895,Models of computation,Timed and hybrid models,10003752_1
896,Models of computation,Abstract machines,10003752_1
897,Formal languages and automata theory,Formalisms,10003752_2
898,Formalisms,Algebraic language theory,10003752_2
899,Formalisms,Rewrite systems,10003752_2
900,Formal languages and automata theory,Automata over infinite objects,10003752_2
901,Formal languages and automata theory,Grammars and context-free languages,10003752_2
902,Formal languages and automata theory,Tree languages,10003752_2
903,Formal languages and automata theory,Automata extensions,10003752_2
904,Automata extensions,Transducers,10003752_2
905,Automata extensions,Quantitative automata,10003752_2
906,Formal languages and automata theory,Regular languages,10003752_2
907,Computational complexity and cryptography,Complexity classes,10003752_3
908,Computational complexity and cryptography,"Problems, reductions and completeness",10003752_3
909,Computational complexity and cryptography,Communication complexity,10003752_3
910,Computational complexity and cryptography,Circuit complexity,10003752_3
911,Computational complexity and cryptography,Oracles and decision trees,10003752_3
912,Computational complexity and cryptography,Algebraic complexity theory,10003752_3
913,Computational complexity and cryptography,Quantum complexity theory,10003752_3
914,Computational complexity and cryptography,Proof complexity,10003752_3
915,Computational complexity and cryptography,Interactive proof systems,10003752_3
916,Computational complexity and cryptography,Complexity theory and logic,10003752_3
917,Computational complexity and cryptography,Cryptographic primitives,10003752_3
918,Computational complexity and cryptography,Cryptographic protocols,10003752_3
919,Logic,Logic and verification,10003752_4
920,Logic,Proof theory,10003752_4
921,Logic,Modal and temporal logics,10003752_4
922,Logic,Automated reasoning,10003752_4
923,Logic,Constraint and logic programming,10003752_4
924,Logic,Constructive mathematics,10003752_4
925,Logic,Description logics,10003752_4
926,Logic,Equational logic and rewriting,10003752_4
927,Logic,Finite Model Theory,10003752_4
928,Logic,Higher order logic,10003752_4
929,Logic,Linear logic,10003752_4
930,Logic,Programming logic,10003752_4
931,Logic,Abstraction,10003752_4
932,Logic,Verification by model checking,10003752_4
933,Logic,Type theory,10003752_4
934,Logic,Hoare logic,10003752_4
935,Logic,Separation logic,10003752_4
936,Design and analysis of algorithms,Graph algorithms analysis,10003752_5
937,Graph algorithms analysis,Network flows,10003752_5
938,Graph algorithms analysis,Sparsification and spanners,10003752_5
939,Graph algorithms analysis,Shortest paths,10003752_5
940,Graph algorithms analysis,Dynamic graph algorithms,10003752_5
941,Design and analysis of algorithms,Approximation algorithms analysis,10003752_5
942,Approximation algorithms analysis,Scheduling algorithms,10003752_5
943,Approximation algorithms analysis,Packing and covering problems,10003752_5
944,Approximation algorithms analysis,Routing and network design problems,10003752_5
945,Approximation algorithms analysis,Facility location and clustering,10003752_5
946,Approximation algorithms analysis,Rounding techniques,10003752_5
947,Approximation algorithms analysis,Stochastic approximation,10003752_5
948,Approximation algorithms analysis,Numeric approximation algorithms,10003752_5
949,Design and analysis of algorithms,Mathematical optimization,10003752_5
950,Mathematical optimization,Discrete optimization,10003752_5
951,Discrete optimization,Network optimization,10003752_5
952,Discrete optimization,Optimization with randomized search heuristics,10003752_5
953,Optimization with randomized search heuristics,Simulated annealing,10003752_5
954,Optimization with randomized search heuristics,Evolutionary algorithms,10003752_5
955,Optimization with randomized search heuristics,Tabu search,10003752_5
956,Optimization with randomized search heuristics,Randomized local search,10003752_5
957,Mathematical optimization,Continuous optimization,10003752_5
958,Continuous optimization,Linear programming,10003752_5
959,Continuous optimization,Semidefinite programming,10003752_5
960,Continuous optimization,Convex optimization,10003752_5
961,Continuous optimization,Quasiconvex programming and unimodality,10003752_5
962,Continuous optimization,Stochastic control and optimization,10003752_5
963,Continuous optimization,Quadratic programming,10003752_5
964,Continuous optimization,Nonconvex optimization,10003752_5
965,Continuous optimization,Bio-inspired optimization,10003752_5
966,Mathematical optimization,Mixed discrete-continuous optimization,10003752_5
967,Mixed discrete-continuous optimization,Submodular optimization and polymatroids,10003752_5
968,Mixed discrete-continuous optimization,Integer programming,10003752_5
969,Mathematical optimization,Non-parametric optimization,10003752_5
970,Non-parametric optimization,Genetic programming,10003752_5
971,Non-parametric optimization,Developmental representations,10003752_5
972,Design and analysis of algorithms,Data structures design and analysis,10003752_5
973,Data structures design and analysis,Data compression,10003752_5
974,Data structures design and analysis,Pattern matching,10003752_5
975,Data structures design and analysis,Sorting and searching,10003752_5
976,Data structures design and analysis,Predecessor queries,10003752_5
977,Data structures design and analysis,Cell probe models and lower bounds,10003752_5
978,Design and analysis of algorithms,Online algorithms,10003752_5
979,Online algorithms,Online learning algorithms,10003752_5
980,Online algorithms,Caching and paging algorithms,10003752_5
981,Online algorithms,K-server algorithms,10003752_5
982,Online algorithms,Adversary models,10003752_5
983,Design and analysis of algorithms,Parameterized complexity and exact algorithms,10003752_5
984,Parameterized complexity and exact algorithms,Fixed parameter tractability,10003752_5
985,Parameterized complexity and exact algorithms,W hierarchy,10003752_5
986,Design and analysis of algorithms,"Streaming, sublinear and near linear time algorithms",10003752_5
987,"Streaming, sublinear and near linear time algorithms",Bloom filters and hashing,10003752_5
988,"Streaming, sublinear and near linear time algorithms",Sketching and sampling,10003752_5
989,"Streaming, sublinear and near linear time algorithms",Lower bounds and information complexity,10003752_5
990,"Streaming, sublinear and near linear time algorithms",Random order and robust communication complexity,10003752_5
991,"Streaming, sublinear and near linear time algorithms",Nearest neighbor algorithms,10003752_5
992,Design and analysis of algorithms,Parallel algorithms,10003752_5
993,Parallel algorithms,MapReduce algorithms,10003752_5
994,Parallel algorithms,Self-organization,10003752_5
995,Parallel algorithms,Shared memory algorithms,10003752_5
996,Parallel algorithms,Vector / streaming algorithms,10003752_5
997,Parallel algorithms,Massively parallel algorithms,10003752_5
998,Design and analysis of algorithms,Distributed algorithms,10003752_5
999,Design and analysis of algorithms,Algorithm design techniques,10003752_5
1000,Algorithm design techniques,Backtracking,10003752_5
1001,Algorithm design techniques,Branch-and-bound,10003752_5
1002,Algorithm design techniques,Divide and conquer,10003752_5
1003,Algorithm design techniques,Dynamic programming,10003752_5
1004,Algorithm design techniques,Preconditioning,10003752_5
1005,Design and analysis of algorithms,Concurrent algorithms,10003752_5
1006,"Randomness, geometry and discrete structures",Pseudorandomness and derandomization,10003752_6
1007,"Randomness, geometry and discrete structures",Computational geometry,10003752_6
1008,"Randomness, geometry and discrete structures",Generating random combinatorial structures,10003752_6
1009,"Randomness, geometry and discrete structures",Random walks and Markov chains,10003752_6
1010,"Randomness, geometry and discrete structures",Expander graphs and randomness extractors,10003752_6
1011,"Randomness, geometry and discrete structures",Error-correcting codes,10003752_6
1012,"Randomness, geometry and discrete structures",Random projections and metric embeddings,10003752_6
1013,"Randomness, geometry and discrete structures",Random network models,10003752_6
1014,"Randomness, geometry and discrete structures",Random search heuristics,10003752_6
1015,Theory and algorithms for application domains,Machine learning theory,10003752_7
1016,Machine learning theory,Sample complexity and generalization bounds,10003752_7
1017,Machine learning theory,Boolean function learning,10003752_7
1018,Machine learning theory,Unsupervised learning and clustering,10003752_7
1019,Machine learning theory,Kernel methods,10003752_7
1020,Kernel methods,Support vector machines,10003752_7
1021,Kernel methods,Gaussian processes,10003752_7
1022,Machine learning theory,Boosting,10003752_7
1023,Machine learning theory,Bayesian analysis,10003752_7
1024,Machine learning theory,Inductive inference,10003752_7
1025,Machine learning theory,Online learning theory,10003752_7
1026,Machine learning theory,Multi-agent learning,10003752_7
1027,Machine learning theory,Models of learning,10003752_7
1028,Machine learning theory,Query learning,10003752_7
1029,Machine learning theory,Structured prediction,10003752_7
1030,Machine learning theory,Reinforcement learning,10003752_7
1031,Reinforcement learning,Sequential decision making,10003752_7
1032,Reinforcement learning,Inverse reinforcement learning,10003752_7
1033,Reinforcement learning,Apprenticeship learning,10003752_7
1034,Reinforcement learning,Multi-agent reinforcement learning,10003752_7
1035,Reinforcement learning,Adversarial learning,10003752_7
1036,Machine learning theory,Active learning,10003752_7
1037,Machine learning theory,Semi-supervised learning,10003752_7
1038,Machine learning theory,Markov decision processes,10003752_7
1039,Machine learning theory,Regret bounds,10003752_7
1040,Theory and algorithms for application domains,Algorithmic game theory and mechanism design,10003752_7
1041,Algorithmic game theory and mechanism design,Social networks,10003752_7
1042,Algorithmic game theory and mechanism design,Algorithmic game theory,10003752_7
1043,Algorithmic game theory and mechanism design,Algorithmic mechanism design,10003752_7
1044,Algorithmic game theory and mechanism design,Solution concepts in game theory,10003752_7
1045,Algorithmic game theory and mechanism design,Exact and approximate computation of equilibria,10003752_7
1046,Algorithmic game theory and mechanism design,Quality of equilibria,10003752_7
1047,Algorithmic game theory and mechanism design,Convergence and learning in games,10003752_7
1048,Algorithmic game theory and mechanism design,Market equilibria,10003752_7
1049,Algorithmic game theory and mechanism design,Computational pricing and auctions,10003752_7
1050,Algorithmic game theory and mechanism design,Representations of games and their complexity,10003752_7
1051,Algorithmic game theory and mechanism design,Network games,10003752_7
1052,Algorithmic game theory and mechanism design,Network formation,10003752_7
1053,Algorithmic game theory and mechanism design,Computational advertising theory,10003752_7
1054,Theory and algorithms for application domains,Database theory,10003752_7
1055,Database theory,Data exchange,10003752_7
1056,Database theory,Data provenance,10003752_7
1057,Database theory,Data modeling,10003752_7
1058,Database theory,Database query languages (principles),10003752_7
1059,Database theory,Database constraints theory,10003752_7
1060,Database theory,Database interoperability,10003752_7
1061,Database theory,Data structures and algorithms for data management,10003752_7
1062,Database theory,Database query processing and optimization (theory),10003752_7
1063,Database theory,Data integration,10003752_7
1064,Database theory,Logic and databases,10003752_7
1065,Database theory,Theory of database privacy and security,10003752_7
1066,Database theory,"Incomplete, inconsistent, and uncertain databases",10003752_7
1067,Theory and algorithms for application domains,Theory of randomized search heuristics,10003752_7
1068,Semantics and reasoning,Program constructs,10003752_8
1069,Program constructs,Control primitives,10003752_8
1070,Program constructs,Functional constructs,10003752_8
1071,Program constructs,Object oriented constructs,10003752_8
1072,Program constructs,Program schemes,10003752_8
1073,Program constructs,Type structures,10003752_8
1074,Semantics and reasoning,Program semantics,10003752_8
1075,Program semantics,Algebraic semantics,10003752_8
1076,Program semantics,Denotational semantics,10003752_8
1077,Program semantics,Operational semantics,10003752_8
1078,Program semantics,Axiomatic semantics,10003752_8
1079,Program semantics,Action semantics,10003752_8
1080,Program semantics,Categorical semantics,10003752_8
1081,Semantics and reasoning,Program reasoning,10003752_8
1082,Program reasoning,Invariants,10003752_8
1083,Program reasoning,Program specifications,10003752_8
1084,Program reasoning,Pre- and post-conditions,10003752_8
1085,Program reasoning,Program verification,10003752_8
1086,Program reasoning,Program analysis,10003752_8
1087,Program reasoning,Assertions,10003752_8
1088,Program reasoning,Parsing,10003752_8
1089,Program reasoning,Abstraction,10003752_8
1090,Symbolic and algebraic manipulation,Symbolic and algebraic algorithms,10010147_1
1091,Symbolic and algebraic algorithms,Combinatorial algorithms,10010147_1
1092,Symbolic and algebraic algorithms,Algebraic algorithms,10010147_1
1093,Symbolic and algebraic algorithms,Nonalgebraic algorithms,10010147_1
1094,Symbolic and algebraic algorithms,Symbolic calculus algorithms,10010147_1
1095,Symbolic and algebraic algorithms,Exact arithmetic algorithms,10010147_1
1096,Symbolic and algebraic algorithms,Hybrid symbolic-numeric methods,10010147_1
1097,Symbolic and algebraic algorithms,Discrete calculus algorithms,10010147_1
1098,Symbolic and algebraic algorithms,Number theory algorithms,10010147_1
1099,Symbolic and algebraic algorithms,Equation and inequality solving algorithms,10010147_1
1100,Symbolic and algebraic algorithms,Linear algebra algorithms,10010147_1
1101,Symbolic and algebraic algorithms,Theorem proving algorithms,10010147_1
1102,Symbolic and algebraic algorithms,Boolean algebra algorithms,10010147_1
1103,Symbolic and algebraic algorithms,Optimization algorithms,10010147_1
1104,Symbolic and algebraic manipulation,Computer algebra systems,10010147_1
1105,Computer algebra systems,Special-purpose algebraic systems,10010147_1
1106,Symbolic and algebraic manipulation,Representation of mathematical objects,10010147_1
1107,Representation of mathematical objects,Representation of exact numbers,10010147_1
1108,Representation of mathematical objects,Representation of mathematical functions,10010147_1
1109,Representation of mathematical objects,Representation of Boolean functions,10010147_1
1110,Representation of mathematical objects,Representation of polynomials,10010147_1
1111,Parallel computing methodologies,Parallel algorithms,10010147_2
1112,Parallel algorithms,MapReduce algorithms,10010147_2
1113,Parallel algorithms,Self-organization,10010147_2
1114,Parallel algorithms,Shared memory algorithms,10010147_2
1115,Parallel algorithms,Vector / streaming algorithms,10010147_2
1116,Parallel algorithms,Massively parallel algorithms,10010147_2
1117,Parallel computing methodologies,Parallel programming languages,10010147_2
1118,Artificial intelligence,Natural language processing,10010147_3
1119,Natural language processing,Information extraction,10010147_3
1120,Natural language processing,Machine translation,10010147_3
1121,Natural language processing,"Discourse, dialogue and pragmatics",10010147_3
1122,Natural language processing,Natural language generation,10010147_3
1123,Natural language processing,Speech recognition,10010147_3
1124,Natural language processing,Lexical semantics,10010147_3
