Unnamed: 0,parent,child,group,type
537,Mesh networks,Wireless mesh networks,10003033_6,train
538,Network topology types,Hybrid networks,10003033_6,train
539,Network properties,Network dynamics,10003033_6,train
540,Network properties,Network reliability,10003033_6,train
541,Network reliability,Error detection and error correction,10003033_6,train
542,Network properties,Network mobility,10003033_6,train
543,Network properties,Network manageability,10003033_6,train
544,Network properties,Network privacy and anonymity,10003033_6,train
545,Network services,Naming and addressing,10003033_7,train
546,Network services,Cloud computing,10003033_7,train
547,Network services,Location based services,10003033_7,train
548,Network services,Programmable networks,10003033_7,train
549,Network services,In-network processing,10003033_7,train
550,Network services,Network management,10003033_7,train
551,Network services,Network monitoring,10003033_7,train
552,Network types,Network on chip,10003033_8,train
553,Network types,Home networks,10003033_8,train
554,Network types,Storage area networks,10003033_8,train
555,Network types,Data center networks,10003033_8,train
556,Network types,Wired access networks,10003033_8,train
557,Network types,Cyber-physical networks,10003033_8,train
558,Cyber-physical networks,Sensor networks,10003033_8,train
559,Network types,Mobile networks,10003033_8,train
560,Network types,Overlay and other logical network structures,10003033_8,train
561,Overlay and other logical network structures,Peer-to-peer networks,10003033_8,train
562,Overlay and other logical network structures,World Wide Web (network structure),10003033_8,train
563,Overlay and other logical network structures,Social media networks,10003033_8,train
564,Overlay and other logical network structures,Online social networks,10003033_8,train
565,Network types,Wireless access networks,10003033_8,train
566,Wireless access networks,Wireless local area networks,10003033_8,train
567,Wireless access networks,Wireless personal area networks,10003033_8,train
568,Network types,Ad hoc networks,10003033_8,train
569,Ad hoc networks,Mobile ad hoc networks,10003033_8,train
570,Network types,Public Internet,10003033_8,train
571,Network types,Packet-switching networks,10003033_8,train
572,Human computer interaction (HCI),HCI design and evaluation methods,10003120_1,test
573,HCI design and evaluation methods,User models,10003120_1,test
574,HCI design and evaluation methods,User studies,10003120_1,test
575,HCI design and evaluation methods,Usability testing,10003120_1,test
576,HCI design and evaluation methods,Heuristic evaluations,10003120_1,test
577,HCI design and evaluation methods,Walkthrough evaluations,10003120_1,test
578,HCI design and evaluation methods,Laboratory experiments,10003120_1,test
579,HCI design and evaluation methods,Field studies,10003120_1,test
580,Human computer interaction (HCI),Interaction paradigms,10003120_1,test
581,Interaction paradigms,Hypertext / hypermedia,10003120_1,test
582,Interaction paradigms,Mixed / augmented reality,10003120_1,test
583,Interaction paradigms,Command line interfaces,10003120_1,test
584,Interaction paradigms,Graphical user interfaces,10003120_1,test
585,Interaction paradigms,Virtual reality,10003120_1,test
586,Interaction paradigms,Web-based interaction,10003120_1,test
587,Interaction paradigms,Natural language interfaces,10003120_1,test
588,Interaction paradigms,Collaborative interaction,10003120_1,test
589,Human computer interaction (HCI),Interaction devices,10003120_1,test
590,Interaction devices,Graphics input devices,10003120_1,test
591,Interaction devices,Displays and imagers,10003120_1,test
592,Interaction devices,Sound-based input / output,10003120_1,test
593,Interaction devices,Keyboards,10003120_1,test
594,Interaction devices,Pointing devices,10003120_1,test
595,Interaction devices,Touch screens,10003120_1,test
596,Interaction devices,Haptic devices,10003120_1,test
597,Human computer interaction (HCI),"HCI theory, concepts and models",10003120_1,test
598,Human computer interaction (HCI),Interaction techniques,10003120_1,test
599,Interaction techniques,Auditory feedback,10003120_1,test
600,Interaction techniques,Text input,10003120_1,test
601,Interaction techniques,Pointing,10003120_1,test
602,Interaction techniques,Gestural input,10003120_1,test
603,Human computer interaction (HCI),Interactive systems and tools,10003120_1,test
604,Interactive systems and tools,User interface management systems,10003120_1,test
605,Interactive systems and tools,User interface programming,10003120_1,test
606,Interactive systems and tools,User interface toolkits,10003120_1,test
607,Human computer interaction (HCI),Empirical studies in HCI,10003120_1,test
608,Interaction design,Interaction design process and methods,10003120_2,train
609,Interaction design process and methods,User interface design,10003120_2,train
610,Interaction design process and methods,User centered design,10003120_2,train
611,Interaction design process and methods,Activity centered design,10003120_2,train
612,Interaction design process and methods,Scenario-based design,10003120_2,train
613,Interaction design process and methods,Participatory design,10003120_2,train
614,Interaction design process and methods,Contextual design,10003120_2,train
615,Interaction design process and methods,Interface design prototyping,10003120_2,train
616,Interaction design,"Interaction design theory, concepts and paradigms",10003120_2,train
617,Interaction design,Empirical studies in interaction design,10003120_2,train
618,Interaction design,Systems and tools for interaction design,10003120_2,train
619,Systems and tools for interaction design,Wireframes,10003120_2,train
620,Collaborative and social computing,"Collaborative and social computing theory, concepts and paradigms",10003120_3,train
621,"Collaborative and social computing theory, concepts and paradigms",Social content sharing,10003120_3,train
622,"Collaborative and social computing theory, concepts and paradigms",Collaborative content creation,10003120_3,train
623,"Collaborative and social computing theory, concepts and paradigms",Collaborative filtering,10003120_3,train
624,"Collaborative and social computing theory, concepts and paradigms",Social recommendation,10003120_3,train
625,"Collaborative and social computing theory, concepts and paradigms",Social networks,10003120_3,train
626,"Collaborative and social computing theory, concepts and paradigms",Social tagging,10003120_3,train
627,"Collaborative and social computing theory, concepts and paradigms",Computer supported cooperative work,10003120_3,train
628,"Collaborative and social computing theory, concepts and paradigms",Social engineering (social sciences),10003120_3,train
629,"Collaborative and social computing theory, concepts and paradigms",Social navigation,10003120_3,train
630,"Collaborative and social computing theory, concepts and paradigms",Social media,10003120_3,train
631,Collaborative and social computing,Collaborative and social computing design and evaluation methods,10003120_3,train
632,Collaborative and social computing design and evaluation methods,Social network analysis,10003120_3,train
633,Collaborative and social computing design and evaluation methods,Ethnographic studies,10003120_3,train
634,Collaborative and social computing,Collaborative and social computing systems and tools,10003120_3,train
635,Collaborative and social computing,Empirical studies in collaborative and social computing,10003120_3,train
636,Collaborative and social computing,Collaborative and social computing devices,10003120_3,train
637,Ubiquitous and mobile computing,"Ubiquitous and mobile computing theory, concepts and paradigms",10003120_4,train
638,"Ubiquitous and mobile computing theory, concepts and paradigms",Ubiquitous computing,10003120_4,train
639,"Ubiquitous and mobile computing theory, concepts and paradigms",Mobile computing,10003120_4,train
640,"Ubiquitous and mobile computing theory, concepts and paradigms",Ambient intelligence,10003120_4,train
641,Ubiquitous and mobile computing,Ubiquitous and mobile computing systems and tools,10003120_4,train
642,Ubiquitous and mobile computing,Ubiquitous and mobile devices,10003120_4,train
643,Ubiquitous and mobile devices,Smartphones,10003120_4,train
644,Ubiquitous and mobile devices,Interactive whiteboards,10003120_4,train
645,Ubiquitous and mobile devices,Mobile phones,10003120_4,train
646,Ubiquitous and mobile devices,Mobile devices,10003120_4,train
647,Ubiquitous and mobile devices,Portable media players,10003120_4,train
648,Ubiquitous and mobile devices,Personal digital assistants,10003120_4,train
649,Ubiquitous and mobile devices,Handheld game consoles,10003120_4,train
650,Ubiquitous and mobile devices,E-book readers,10003120_4,train
651,Ubiquitous and mobile devices,Tablet computers,10003120_4,train
652,Ubiquitous and mobile computing,Ubiquitous and mobile computing design and evaluation methods,10003120_4,train
653,Ubiquitous and mobile computing,Empirical studies in ubiquitous and mobile computing,10003120_4,train
654,Visualization,Visualization techniques,10003120_5,test
655,Visualization techniques,Treemaps,10003120_5,test
656,Visualization techniques,Hyperbolic trees,10003120_5,test
657,Visualization techniques,Heat maps,10003120_5,test
658,Visualization techniques,Graph drawings,10003120_5,test
659,Visualization techniques,Dendrograms,10003120_5,test
660,Visualization techniques,Cladograms,10003120_5,test
661,Visualization,Visualization application domains,10003120_5,test
662,Visualization application domains,Scientific visualization,10003120_5,test
663,Visualization application domains,Visual analytics,10003120_5,test
664,Visualization application domains,Geographic visualization,10003120_5,test
665,Visualization application domains,Information visualization,10003120_5,test
666,Visualization,Visualization systems and tools,10003120_5,test
667,Visualization systems and tools,Visualization toolkits,10003120_5,test
668,Visualization,"Visualization theory, concepts and paradigms",10003120_5,test
669,Visualization,Empirical studies in visualization,10003120_5,test
670,Visualization,Visualization design and evaluation methods,10003120_5,test
671,Accessibility,"Accessibility theory, concepts and paradigms",10003120_6,train
672,Accessibility,Empirical studies in accessibility,10003120_6,train
673,Accessibility,Accessibility design and evaluation methods,10003120_6,train
674,Accessibility,Accessibility technologies,10003120_6,train
675,Accessibility,Accessibility systems and tools,10003120_6,train
676,Professional topics,Computing industry,10003456_1,train
677,Computing industry,Industry statistics,10003456_1,train
678,Computing industry,Computer manufacturing,10003456_1,train
679,Computing industry,Sustainability,10003456_1,train
680,Professional topics,Management of computing and information systems,10003456_1,train
681,Management of computing and information systems,Project and people management,10003456_1,train
682,Project and people management,Project management techniques,10003456_1,train
683,Project and people management,Project staffing,10003456_1,train
684,Project and people management,Systems planning,10003456_1,train
685,Project and people management,Systems analysis and design,10003456_1,train
686,Project and people management,Systems development,10003456_1,train
687,Project and people management,Computer and information systems training,10003456_1,train
688,Management of computing and information systems,Implementation management,10003456_1,train
689,Implementation management,Hardware selection,10003456_1,train
690,Implementation management,Computing equipment management,10003456_1,train
691,Implementation management,Pricing and resource allocation,10003456_1,train
692,Management of computing and information systems,Software management,10003456_1,train
693,Software management,Software maintenance,10003456_1,train
694,Software management,Software selection and adaptation,10003456_1,train
695,Management of computing and information systems,System management,10003456_1,train
696,System management,Centralization / decentralization,10003456_1,train
697,System management,Technology audits,10003456_1,train
698,System management,Quality assurance,10003456_1,train
699,Management of computing and information systems,Network operations,10003456_1,train
700,Management of computing and information systems,File systems management,10003456_1,train
701,Management of computing and information systems,Information system economics,10003456_1,train
702,Professional topics,History of computing,10003456_1,train
703,History of computing,Historical people,10003456_1,train
704,History of computing,History of hardware,10003456_1,train
705,History of computing,History of software,10003456_1,train
706,History of computing,History of programming languages,10003456_1,train
707,History of computing,History of computing theory,10003456_1,train
708,Professional topics,Computing education,10003456_1,train
709,Computing education,Computational thinking,10003456_1,train
710,Computing education,Accreditation,10003456_1,train
711,Computing education,Model curricula,10003456_1,train
712,Computing education,Computing education programs,10003456_1,train
713,Computing education programs,Information systems education,10003456_1,train
714,Computing education programs,Computer science education,10003456_1,train
715,Computer science education,CS1,10003456_1,train
716,Computing education programs,Computer engineering education,10003456_1,train
717,Computing education programs,Information technology education,10003456_1,train
718,Computing education programs,Information science education,10003456_1,train
719,Computing education programs,Computational science and engineering education,10003456_1,train
720,Computing education programs,Software engineering education,10003456_1,train
721,Computing education,Informal education,10003456_1,train
722,Computing education,Computing literacy,10003456_1,train
723,Computing education,Student assessment,10003456_1,train
724,Computing education,K-12 education,10003456_1,train
725,Computing education,Adult education,10003456_1,train
726,Professional topics,Computing and business,10003456_1,train
727,Computing and business,Employment issues,10003456_1,train
728,Computing and business,Automation,10003456_1,train
729,Computing and business,Computer supported cooperative work,10003456_1,train
730,Computing and business,Economic impact,10003456_1,train
731,Computing and business,Offshoring,10003456_1,train
732,Computing and business,Reengineering,10003456_1,train
733,Computing and business,Socio-technical systems,10003456_1,train
734,Professional topics,Computing profession,10003456_1,train
735,Computing profession,Codes of ethics,10003456_1,train
736,Computing profession,Funding,10003456_1,train
737,Computing profession,Computing occupations,10003456_1,train
738,Computing profession,Computing organizations,10003456_1,train
739,Computing profession,"Testing, certification and licensing",10003456_1,train
740,Computing profession,Assistive technologies,10003456_1,train
741,Computing / technology policy,Intellectual property,10003456_2,train
742,Intellectual property,Digital rights management,10003456_2,train
743,Intellectual property,Copyrights,10003456_2,train
744,Intellectual property,Software reverse engineering,10003456_2,train
745,Intellectual property,Patents,10003456_2,train
746,Intellectual property,Trademarks,10003456_2,train
747,Intellectual property,Internet governance / domain names,10003456_2,train
748,Intellectual property,Licensing,10003456_2,train
749,Intellectual property,Treaties,10003456_2,train
750,Intellectual property,Database protection laws,10003456_2,train
751,Intellectual property,Secondary liability,10003456_2,train
752,Intellectual property,Soft intellectual property,10003456_2,train
753,Intellectual property,Hardware reverse engineering,10003456_2,train
754,Computing / technology policy,Privacy policies,10003456_2,train
755,Computing / technology policy,Censorship,10003456_2,train
756,Censorship,Pornography,10003456_2,train
757,Censorship,Hate speech,10003456_2,train
758,Censorship,Political speech,10003456_2,train
759,Censorship,Technology and censorship,10003456_2,train
760,Censorship,Censoring filters,10003456_2,train
761,Computing / technology policy,Surveillance,10003456_2,train
762,Surveillance,Governmental surveillance,10003456_2,train
763,Surveillance,Corporate surveillance,10003456_2,train
764,Computing / technology policy,Commerce policy,10003456_2,train
765,Commerce policy,Taxation,10003456_2,train
766,Commerce policy,Transborder data flow,10003456_2,train
767,Commerce policy,Antitrust and competition,10003456_2,train
768,Commerce policy,Governmental regulations,10003456_2,train
769,Commerce policy,Online auctions policy,10003456_2,train
770,Commerce policy,Consumer products policy,10003456_2,train
771,Computing / technology policy,Network access control,10003456_2,train
772,Network access control,Broadband access,10003456_2,train
773,Network access control,Net neutrality,10003456_2,train
774,Network access control,Network access restrictions,10003456_2,train
775,Network access restrictions,Age-based restrictions,10003456_2,train
776,Network access restrictions,Acceptable use policy restrictions,10003456_2,train
777,Network access control,Universal access,10003456_2,train
778,Computing / technology policy,Computer crime,10003456_2,train
779,Computer crime,Social engineering attacks,10003456_2,train
780,Computer crime,Identity theft,10003456_2,train
781,Computer crime,Financial crime,10003456_2,train
782,Computer crime,Malware / spyware crime,10003456_2,train
783,Computing / technology policy,Government technology policy,10003456_2,train
784,Government technology policy,Import / export controls,10003456_2,train
785,Computing / technology policy,Medical information policy,10003456_2,train
786,Medical information policy,Medical records,10003456_2,train
787,Medical information policy,Personal health records,10003456_2,train
788,Medical information policy,Genetic information,10003456_2,train
789,Medical information policy,Patient privacy,10003456_2,train
790,Medical information policy,Health information exchanges,10003456_2,train
791,Medical information policy,Medical technologies,10003456_2,train
792,Medical technologies,Remote medicine,10003456_2,train
793,User characteristics,Race and ethnicity,10003456_3,train
794,User characteristics,Religious orientation,10003456_3,train
795,User characteristics,Gender,10003456_3,train
796,Gender,Men,10003456_3,train
797,Gender,Women,10003456_3,train
798,User characteristics,Sexual orientation,10003456_3,train
799,User characteristics,People with disabilities,10003456_3,train
800,User characteristics,Geographic characteristics,10003456_3,train
801,User characteristics,Cultural characteristics,10003456_3,train
802,User characteristics,Age,10003456_3,train
803,Age,Children,10003456_3,train
804,Age,Seniors,10003456_3,train
805,Age,Adolescents,10003456_3,train
806,Models of computation,Computability,10003752_1,test
807,Computability,Lambda calculus,10003752_1,test
808,Computability,Turing machines,10003752_1,test
809,Computability,Recursive functions,10003752_1,test
810,Models of computation,Probabilistic computation,10003752_1,test
811,Models of computation,Quantum computation theory,10003752_1,test
812,Quantum computation theory,Quantum complexity theory,10003752_1,test
813,Quantum computation theory,Quantum communication complexity,10003752_1,test
814,Quantum computation theory,Quantum query complexity,10003752_1,test
815,Quantum computation theory,Quantum information theory,10003752_1,test
816,Models of computation,Interactive computation,10003752_1,test
817,Models of computation,Streaming models,10003752_1,test
818,Models of computation,Concurrency,10003752_1,test
819,Concurrency,Parallel computing models,10003752_1,test
820,Concurrency,Distributed computing models,10003752_1,test
821,Concurrency,Process calculi,10003752_1,test
822,Models of computation,Timed and hybrid models,10003752_1,test
823,Models of computation,Abstract machines,10003752_1,test
824,Formal languages and automata theory,Formalisms,10003752_2,val
825,Formalisms,Algebraic language theory,10003752_2,val
826,Formalisms,Rewrite systems,10003752_2,val
827,Formal languages and automata theory,Automata over infinite objects,10003752_2,val
828,Formal languages and automata theory,Grammars and context-free languages,10003752_2,val
829,Formal languages and automata theory,Tree languages,10003752_2,val
830,Formal languages and automata theory,Automata extensions,10003752_2,val
831,Automata extensions,Transducers,10003752_2,val
832,Automata extensions,Quantitative automata,10003752_2,val
833,Formal languages and automata theory,Regular languages,10003752_2,val
834,Computational complexity and cryptography,Complexity classes,10003752_3,test
835,Computational complexity and cryptography,"Problems, reductions and completeness",10003752_3,test
836,Computational complexity and cryptography,Communication complexity,10003752_3,test
837,Computational complexity and cryptography,Circuit complexity,10003752_3,test
838,Computational complexity and cryptography,Oracles and decision trees,10003752_3,test
839,Computational complexity and cryptography,Algebraic complexity theory,10003752_3,test
840,Computational complexity and cryptography,Quantum complexity theory,10003752_3,test
841,Computational complexity and cryptography,Proof complexity,10003752_3,test
842,Computational complexity and cryptography,Interactive proof systems,10003752_3,test
843,Computational complexity and cryptography,Complexity theory and logic,10003752_3,test
844,Computational complexity and cryptography,Cryptographic primitives,10003752_3,test
845,Computational complexity and cryptography,Cryptographic protocols,10003752_3,test
846,Logic,Logic and verification,10003752_4,test
847,Logic,Proof theory,10003752_4,test
848,Logic,Modal and temporal logics,10003752_4,test
849,Logic,Automated reasoning,10003752_4,test
850,Logic,Constraint and logic programming,10003752_4,test
851,Logic,Constructive mathematics,10003752_4,test
852,Logic,Description logics,10003752_4,test
853,Logic,Equational logic and rewriting,10003752_4,test
854,Logic,Finite Model Theory,10003752_4,test
855,Logic,Higher order logic,10003752_4,test
856,Logic,Linear logic,10003752_4,test
857,Logic,Programming logic,10003752_4,test
858,Logic,Abstraction,10003752_4,test
859,Logic,Verification by model checking,10003752_4,test
860,Logic,Type theory,10003752_4,test
861,Logic,Hoare logic,10003752_4,test
862,Logic,Separation logic,10003752_4,test
863,Design and analysis of algorithms,Graph algorithms analysis,10003752_5,train
864,Graph algorithms analysis,Network flows,10003752_5,train
865,Graph algorithms analysis,Sparsification and spanners,10003752_5,train
866,Graph algorithms analysis,Shortest paths,10003752_5,train
867,Graph algorithms analysis,Dynamic graph algorithms,10003752_5,train
868,Design and analysis of algorithms,Approximation algorithms analysis,10003752_5,train
869,Approximation algorithms analysis,Scheduling algorithms,10003752_5,train
870,Approximation algorithms analysis,Packing and covering problems,10003752_5,train
871,Approximation algorithms analysis,Routing and network design problems,10003752_5,train
872,Approximation algorithms analysis,Facility location and clustering,10003752_5,train
873,Approximation algorithms analysis,Rounding techniques,10003752_5,train
874,Approximation algorithms analysis,Stochastic approximation,10003752_5,train
875,Approximation algorithms analysis,Numeric approximation algorithms,10003752_5,train
876,Design and analysis of algorithms,Mathematical optimization,10003752_5,train
877,Design and analysis of algorithms,Data structures design and analysis,10003752_5,train
878,Data structures design and analysis,Data compression,10003752_5,train
879,Data structures design and analysis,Pattern matching,10003752_5,train
880,Data structures design and analysis,Sorting and searching,10003752_5,train
881,Data structures design and analysis,Predecessor queries,10003752_5,train
882,Data structures design and analysis,Cell probe models and lower bounds,10003752_5,train
883,Design and analysis of algorithms,Online algorithms,10003752_5,train
884,Online algorithms,Online learning algorithms,10003752_5,train
885,Online algorithms,Caching and paging algorithms,10003752_5,train
886,Online algorithms,K-server algorithms,10003752_5,train
887,Online algorithms,Adversary models,10003752_5,train
888,Design and analysis of algorithms,Parameterized complexity and exact algorithms,10003752_5,train
889,Parameterized complexity and exact algorithms,Fixed parameter tractability,10003752_5,train
890,Parameterized complexity and exact algorithms,W hierarchy,10003752_5,train
891,Design and analysis of algorithms,"Streaming, sublinear and near linear time algorithms",10003752_5,train
892,"Streaming, sublinear and near linear time algorithms",Bloom filters and hashing,10003752_5,train
893,"Streaming, sublinear and near linear time algorithms",Sketching and sampling,10003752_5,train
894,"Streaming, sublinear and near linear time algorithms",Lower bounds and information complexity,10003752_5,train
895,"Streaming, sublinear and near linear time algorithms",Random order and robust communication complexity,10003752_5,train
896,"Streaming, sublinear and near linear time algorithms",Nearest neighbor algorithms,10003752_5,train
897,Design and analysis of algorithms,Parallel algorithms,10003752_5,train
898,Design and analysis of algorithms,Distributed algorithms,10003752_5,train
899,Design and analysis of algorithms,Algorithm design techniques,10003752_5,train
900,Algorithm design techniques,Backtracking,10003752_5,train
901,Algorithm design techniques,Branch-and-bound,10003752_5,train
902,Algorithm design techniques,Divide and conquer,10003752_5,train
903,Algorithm design techniques,Dynamic programming,10003752_5,train
904,Algorithm design techniques,Preconditioning,10003752_5,train
905,Design and analysis of algorithms,Concurrent algorithms,10003752_5,train
906,"Randomness, geometry and discrete structures",Pseudorandomness and derandomization,10003752_6,test
907,"Randomness, geometry and discrete structures",Computational geometry,10003752_6,test
908,"Randomness, geometry and discrete structures",Generating random combinatorial structures,10003752_6,test
909,"Randomness, geometry and discrete structures",Random walks and Markov chains,10003752_6,test
910,"Randomness, geometry and discrete structures",Expander graphs and randomness extractors,10003752_6,test
911,"Randomness, geometry and discrete structures",Error-correcting codes,10003752_6,test
912,"Randomness, geometry and discrete structures",Random projections and metric embeddings,10003752_6,test
913,"Randomness, geometry and discrete structures",Random network models,10003752_6,test
914,"Randomness, geometry and discrete structures",Random search heuristics,10003752_6,test
915,Theory and algorithms for application domains,Machine learning theory,10003752_7,test
916,Machine learning theory,Sample complexity and generalization bounds,10003752_7,test
917,Machine learning theory,Boolean function learning,10003752_7,test
918,Machine learning theory,Unsupervised learning and clustering,10003752_7,test
919,Machine learning theory,Kernel methods,10003752_7,test
920,Machine learning theory,Boosting,10003752_7,test
921,Machine learning theory,Bayesian analysis,10003752_7,test
922,Machine learning theory,Inductive inference,10003752_7,test
923,Machine learning theory,Online learning theory,10003752_7,test
924,Machine learning theory,Multi-agent learning,10003752_7,test
925,Machine learning theory,Models of learning,10003752_7,test
926,Machine learning theory,Query learning,10003752_7,test
927,Machine learning theory,Structured prediction,10003752_7,test
928,Machine learning theory,Reinforcement learning,10003752_7,test
929,Machine learning theory,Active learning,10003752_7,test
930,Machine learning theory,Semi-supervised learning,10003752_7,test
931,Machine learning theory,Markov decision processes,10003752_7,test
932,Machine learning theory,Regret bounds,10003752_7,test
933,Theory and algorithms for application domains,Algorithmic game theory and mechanism design,10003752_7,test
934,Algorithmic game theory and mechanism design,Social networks,10003752_7,test
935,Algorithmic game theory and mechanism design,Algorithmic game theory,10003752_7,test
936,Algorithmic game theory and mechanism design,Algorithmic mechanism design,10003752_7,test
937,Algorithmic game theory and mechanism design,Solution concepts in game theory,10003752_7,test
938,Algorithmic game theory and mechanism design,Exact and approximate computation of equilibria,10003752_7,test
939,Algorithmic game theory and mechanism design,Quality of equilibria,10003752_7,test
940,Algorithmic game theory and mechanism design,Convergence and learning in games,10003752_7,test
941,Algorithmic game theory and mechanism design,Market equilibria,10003752_7,test
942,Algorithmic game theory and mechanism design,Computational pricing and auctions,10003752_7,test
943,Algorithmic game theory and mechanism design,Representations of games and their complexity,10003752_7,test
944,Algorithmic game theory and mechanism design,Network games,10003752_7,test
945,Algorithmic game theory and mechanism design,Network formation,10003752_7,test
946,Algorithmic game theory and mechanism design,Computational advertising theory,10003752_7,test
947,Theory and algorithms for application domains,Database theory,10003752_7,test
948,Database theory,Data exchange,10003752_7,test
949,Database theory,Data provenance,10003752_7,test
950,Database theory,Data modeling,10003752_7,test
951,Database theory,Database query languages (principles),10003752_7,test
952,Database theory,Database constraints theory,10003752_7,test
953,Database theory,Database interoperability,10003752_7,test
954,Database theory,Data structures and algorithms for data management,10003752_7,test
955,Database theory,Database query processing and optimization (theory),10003752_7,test
956,Database theory,Data integration,10003752_7,test
957,Database theory,Logic and databases,10003752_7,test
958,Database theory,Theory of database privacy and security,10003752_7,test
959,Database theory,"Incomplete, inconsistent, and uncertain databases",10003752_7,test
960,Theory and algorithms for application domains,Theory of randomized search heuristics,10003752_7,test
961,Semantics and reasoning,Program constructs,10003752_8,train
962,Program constructs,Control primitives,10003752_8,train
963,Program constructs,Functional constructs,10003752_8,train
964,Program constructs,Object oriented constructs,10003752_8,train
965,Program constructs,Program schemes,10003752_8,train
966,Program constructs,Type structures,10003752_8,train
967,Semantics and reasoning,Program semantics,10003752_8,train
968,Program semantics,Algebraic semantics,10003752_8,train
969,Program semantics,Denotational semantics,10003752_8,train
970,Program semantics,Operational semantics,10003752_8,train
971,Program semantics,Axiomatic semantics,10003752_8,train
972,Program semantics,Action semantics,10003752_8,train
973,Program semantics,Categorical semantics,10003752_8,train
974,Semantics and reasoning,Program reasoning,10003752_8,train
975,Program reasoning,Invariants,10003752_8,train
976,Program reasoning,Program specifications,10003752_8,train
977,Program reasoning,Pre- and post-conditions,10003752_8,train
978,Program reasoning,Program verification,10003752_8,train
979,Program reasoning,Program analysis,10003752_8,train
980,Program reasoning,Assertions,10003752_8,train
981,Program reasoning,Parsing,10003752_8,train
982,Program reasoning,Abstraction,10003752_8,train
983,Symbolic and algebraic manipulation,Symbolic and algebraic algorithms,10010147_1,val
984,Symbolic and algebraic algorithms,Combinatorial algorithms,10010147_1,val
985,Symbolic and algebraic algorithms,Algebraic algorithms,10010147_1,val
986,Symbolic and algebraic algorithms,Nonalgebraic algorithms,10010147_1,val
987,Symbolic and algebraic algorithms,Symbolic calculus algorithms,10010147_1,val
988,Symbolic and algebraic algorithms,Exact arithmetic algorithms,10010147_1,val
989,Symbolic and algebraic algorithms,Hybrid symbolic-numeric methods,10010147_1,val
990,Symbolic and algebraic algorithms,Discrete calculus algorithms,10010147_1,val
991,Symbolic and algebraic algorithms,Number theory algorithms,10010147_1,val
992,Symbolic and algebraic algorithms,Equation and inequality solving algorithms,10010147_1,val
993,Symbolic and algebraic algorithms,Linear algebra algorithms,10010147_1,val
994,Symbolic and algebraic algorithms,Theorem proving algorithms,10010147_1,val
995,Symbolic and algebraic algorithms,Boolean algebra algorithms,10010147_1,val
996,Symbolic and algebraic algorithms,Optimization algorithms,10010147_1,val
997,Symbolic and algebraic manipulation,Computer algebra systems,10010147_1,val
998,Computer algebra systems,Special-purpose algebraic systems,10010147_1,val
999,Symbolic and algebraic manipulation,Representation of mathematical objects,10010147_1,val
1000,Representation of mathematical objects,Representation of exact numbers,10010147_1,val
1001,Representation of mathematical objects,Representation of mathematical functions,10010147_1,val
1002,Representation of mathematical objects,Representation of Boolean functions,10010147_1,val
1003,Representation of mathematical objects,Representation of polynomials,10010147_1,val
1004,Parallel computing methodologies,Parallel algorithms,10010147_2,val
1005,Parallel computing methodologies,Parallel programming languages,10010147_2,val
1006,Artificial intelligence,Natural language processing,10010147_3,train
1007,Natural language processing,Information extraction,10010147_3,train
1008,Natural language processing,Machine translation,10010147_3,train
1009,Natural language processing,"Discourse, dialogue and pragmatics",10010147_3,train
1010,Natural language processing,Natural language generation,10010147_3,train
1011,Natural language processing,Speech recognition,10010147_3,train
1012,Natural language processing,Lexical semantics,10010147_3,train
1013,Natural language processing,Phonology / morphology,10010147_3,train
1014,Natural language processing,Language resources,10010147_3,train
1015,Artificial intelligence,Knowledge representation and reasoning,10010147_3,train
1016,Knowledge representation and reasoning,Description logics,10010147_3,train
1017,Knowledge representation and reasoning,Semantic networks,10010147_3,train
1018,Knowledge representation and reasoning,"Nonmonotonic, default reasoning and belief revision",10010147_3,train
1019,Knowledge representation and reasoning,Probabilistic reasoning,10010147_3,train
1020,Knowledge representation and reasoning,Vagueness and fuzzy logic,10010147_3,train
1021,Knowledge representation and reasoning,Causal reasoning and diagnostics,10010147_3,train
1022,Knowledge representation and reasoning,Temporal reasoning,10010147_3,train
1023,Knowledge representation and reasoning,Cognitive robotics,10010147_3,train
1024,Knowledge representation and reasoning,Ontology engineering,10010147_3,train
1025,Knowledge representation and reasoning,Logic programming and answer set programming,10010147_3,train
1026,Knowledge representation and reasoning,Spatial and physical reasoning,10010147_3,train
1027,Knowledge representation and reasoning,Reasoning about belief and knowledge,10010147_3,train
1028,Artificial intelligence,Planning and scheduling,10010147_3,train
1029,Planning and scheduling,Planning for deterministic actions,10010147_3,train
1030,Planning and scheduling,Planning under uncertainty,10010147_3,train
1031,Planning and scheduling,Multi-agent planning,10010147_3,train
1032,Planning and scheduling,Planning with abstraction and generalization,10010147_3,train
1033,Planning and scheduling,Robotic planning,10010147_3,train
1034,Robotic planning,Evolutionary robotics,10010147_3,train
1035,Artificial intelligence,Search methodologies,10010147_3,train
1036,Search methodologies,Heuristic function construction,10010147_3,train
1037,Search methodologies,Discrete space search,10010147_3,train
1038,Search methodologies,Continuous space search,10010147_3,train
1039,Search methodologies,Randomized search,10010147_3,train
1040,Search methodologies,Game tree search,10010147_3,train
1041,Search methodologies,Abstraction and micro-operators,10010147_3,train
1042,Search methodologies,Search with partial observations,10010147_3,train
1043,Artificial intelligence,Control methods,10010147_3,train
1044,Control methods,Computational control theory,10010147_3,train
